Time,Temperature
2025-05-08 16:59:58,25.94
2025-05-08 17:00:28,25.94
2025-05-08 20:40:31,27.06
2025-05-08 20:45:31,27.12
2025-05-08 20:50:31,27.12
2025-05-08 20:55:31,27.19
2025-05-08 21:00:31,27.12
2025-05-08 21:05:31,27.19
2025-05-08 21:10:31,27.25
2025-05-08 21:15:31,27.00
2025-05-08 21:20:31,27.00
2025-05-08 21:25:31,26.87
2025-05-08 21:30:31,26.81
2025-05-08 21:35:31,26.81
2025-05-08 21:40:31,26.81
2025-05-08 21:45:31,26.75
2025-05-08 21:50:31,26.69
2025-05-08 21:55:31,26.69
2025-05-08 22:00:31,26.62
2025-05-08 22:05:31,26.62
2025-05-08 22:10:31,26.56
2025-05-08 22:15:31,26.56
2025-05-08 22:20:31,26.56
2025-05-08 22:25:31,26.50
2025-05-08 22:30:31,26.50
2025-05-08 22:35:31,26.50
2025-05-08 22:40:31,26.50
2025-05-08 22:45:31,26.50
2025-05-08 22:50:31,26.44
2025-05-08 22:55:31,26.44
2025-05-08 23:00:31,26.44
2025-05-08 23:05:31,26.37
2025-05-08 23:10:31,26.37
2025-05-08 23:15:31,26.37
2025-05-08 23:20:31,26.37
2025-05-08 23:25:31,26.37
2025-05-08 23:30:31,26.37
2025-05-08 23:35:31,26.31
2025-05-08 23:40:31,26.31
2025-05-08 23:45:31,26.31
2025-05-08 23:50:31,26.31
2025-05-08 23:55:31,26.31
2025-05-09 00:00:31,26.31
2025-05-09 00:05:31,26.31
2025-05-09 00:10:31,26.31
2025-05-09 00:15:31,26.31
2025-05-09 00:20:31,26.31
2025-05-09 00:25:31,26.25
2025-05-09 00:30:31,26.19
2025-05-09 00:35:31,26.12
2025-05-09 00:40:31,26.12
2025-05-09 00:45:31,26.12
2025-05-09 00:50:31,26.06
2025-05-09 00:55:31,26.00
2025-05-09 01:00:31,26.06
2025-05-09 01:05:31,26.00
2025-05-09 01:10:31,26.00
2025-05-09 01:15:31,26.00
2025-05-09 01:20:31,26.00
2025-05-09 01:25:31,26.06
2025-05-09 01:30:31,23.81
2025-05-09 01:35:31,22.62
2025-05-09 01:40:31,22.19
2025-05-09 01:45:31,21.62
2025-05-09 01:50:31,22.06
2025-05-09 01:55:31,21.69
2025-05-09 02:00:31,21.44
2025-05-09 02:05:31,21.25
2025-05-09 02:10:31,20.87
2025-05-09 02:15:31,20.44
2025-05-09 02:20:31,20.19
2025-05-09 02:25:31,19.87
2025-05-09 02:30:31,19.87
2025-05-09 02:35:31,19.69
2025-05-09 02:40:31,19.56
2025-05-09 02:45:31,19.62
2025-05-09 02:50:31,19.44
2025-05-09 02:55:31,19.12
2025-05-09 03:00:31,18.87
2025-05-09 03:05:31,18.94
2025-05-09 03:10:31,19.06
2025-05-09 03:15:31,19.19
2025-05-09 03:20:31,19.06
2025-05-09 03:25:31,18.94
2025-05-09 03:30:31,18.87
2025-05-09 03:35:31,19.00
2025-05-09 03:40:31,19.00
2025-05-09 03:45:31,19.00
2025-05-09 03:50:31,18.94
2025-05-09 03:55:31,18.87
2025-05-09 04:00:31,18.62
2025-05-09 04:05:31,18.56
2025-05-09 04:10:31,18.31
2025-05-09 04:15:31,18.19
2025-05-09 04:20:31,18.00
2025-05-09 04:25:31,18.12
2025-05-09 04:30:31,18.00
2025-05-09 04:35:31,18.00
2025-05-09 04:40:31,17.87
2025-05-09 04:45:31,17.81
2025-05-09 04:50:31,17.69
2025-05-09 04:55:31,17.75
2025-05-09 05:00:31,17.69
2025-05-09 05:05:31,17.62
2025-05-09 05:10:31,17.69
2025-05-09 05:15:31,17.62
2025-05-09 05:20:31,17.37
2025-05-09 05:25:31,17.44
2025-05-09 05:30:31,17.50
2025-05-09 05:35:31,17.37
2025-05-09 05:40:30,17.50
2025-05-09 05:45:30,17.81
2025-05-09 05:54:13,22.25
2025-05-09 05:59:13,23.19
